round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_old,deg_per_lap,pace_at_age5
4,Miami,57,COL,2,HARD,23,33,0.5789473684210527,0.044460643901977494,0.009469050699071129,91.44226160711479
4,Miami,57,HAM,1,MEDIUM,17,2,0.03508771929824561,0.06273572714327791,0.027744133940372805,91.6380856518356
4,Miami,57,HAM,2,HARD,27,29,0.5087719298245614,0.09032572258696629,0.05533412938405754,90.89487555910024
4,Miami,57,LEC,1,MEDIUM,11,2,0.03508771929824561,0.05818241096621342,0.023190817763304207,91.52718942017992
4,Miami,57,LEC,2,HARD,33,23,0.40350877192982454,0.026683889358780827,-0.00830770384412448,91.07906174523164
4,Miami,57,LIN,1,MEDIUM,17,2,0.03508771929824561,0.027822480184622144,-0.007169113018286975,94.03444587200683
4,Miami,57,LIN,2,HARD,25,30,0.5263157894736842,0.06464393209130007,0.029652338888393196,92.61458124037107
4,Miami,57,NOR,1,MEDIUM,17,2,0.03508771929824561,0.03610115593347866,0.0011095627305715674,90.93228990145273
4,Miami,57,NOR,2,HARD,27,29,0.5087719298245614,0.04282347328037175,0.00783188007746541,90.32700471757143
4,Miami,57,OCO,1,MEDIUM,21,2,0.03508771929824561,0.01769991007418958,-0.0172916831287176,93.52208311259561
4,Miami,57,OCO,2,HARD,22,33,0.5789473684210527,0.07003573516463449,0.03504414196172826,92.2258589569295
4,Miami,57,PER,1,MEDIUM,19,2,0.03508771929824561,0.028622911445280334,-0.006368681757627006,94.52830341660874
4,Miami,57,PER,2,HARD,24,31,0.543859649122807,0.05255591480284019,0.01756432159993372,93.92131138024953
4,Miami,57,PIA,1,MEDIUM,18,2,0.03508771929824561,0.042779354303364395,0.007787761100458162,91.62517167629761
4,Miami,57,PIA,2,HARD,26,30,0.5263157894736842,0.017685016707541357,-0.017306576495367033,90.86624522602871
4,Miami,57,RUS,1,MEDIUM,10,2,0.03508771929824561,0.0638270921803256,0.02883549897741722,91.52166893742992
4,Miami,57,RUS,2,HARD,34,22,0.38596491228070173,0.04015780993670999,0.005166216733801839,91.32843579288641
4,Miami,57,SAI,1,MEDIUM,18,2,0.03508771929824561,0.03048930516994833,-0.00450228803295769,92.90119170761338
4,Miami,57,SAI,2,HARD,26,30,0.5263157894736842,0.05792973042661552,0.022938137223709167,91.71568861120046
4,Miami,57,STR,1,MEDIUM,11,2,0.03508771929824561,0.04178087339498005,0.006789280192072093,94.54082941511524
4,Miami,57,STR,2,SOFT,14,23,0.40350877192982454,0.06861561596298553,0.033624022760078476,93.71637230370153
4,Miami,57,STR,3,SOFT,16,39,0.6842105263157895,-0.0019459711224940987,-0.03693756432539901,93.32736566116485
4,Miami,57,VER,2,HARD,43,12,0.21052631578947367,0.051991222299056554,0.01699962909614945,91.34042736936256
5,Canadian,68,ALB,1,SOFT,10,2,0.029411764705882353,-0.7309262032085533,-0.7278243695618348,78.90736906128171
5,Canadian,68,ALO,1,SOFT,14,2,0.029411764705882353,-0.028945878059251605,-0.02584404441253166,79.0913367122439
5,Canadian,68,ANT,1,SOFT,25,2,0.029411764705882353,-0.04461816682559223,-0.04151633317887366,75.57354585124847
5,Canadian,68,ANT,2,MEDIUM,31,33,0.4852941176470588,-0.02568955405572325,-0.02258772040900465,75.21076021182911
5,Canadian,68,BEA,1,SOFT,23,2,0.029411764705882353,-0.1327793214765424,-0.1296774878298235,78.9833618052563
5,Canadian,68,BEA,2,MEDIUM,31,32,0.47058823529411764,-0.02152302879486693,-0.018421195148146687,76.84276374173518
5,Canadian,68,BOR,2,SOFT,12,4,0.058823529411764705,-0.1647414196919204,-0.16163958604520218,77.30925184102206
5,Canadian,68,BOR,3,MEDIUM,37,20,0.29411764705882354,0.0077847141812294055,0.01088654782794799,76.46629240759624
5,Canadian,68,BOT,3,MEDIUM,13,14,0.20588235294117646,0.078857670706472,0.08195950435319171,78.28680994536678
5,Canadian,68,BOT,4,SOFT,16,31,0.45588235294117646,0.11110541681461039,0.11420725046133111,78.46235972829426
5,Canadian,68,BOT,5,MEDIUM,13,51,0.75,-0.29679419729976647,-0.2936923636530464,80.32977079198352
5,Canadian,68,COL,1,MEDIUM,24,2,0.029411764705882353,-0.1001421714410667,-0.09704033779434776,77.41033938909514
5,Canadian,68,COL,2,HARD,29,33,0.4852941176470588,-0.0028777205805382905,0.00022411306618029303,76.33552431950626
5,Canadian,68,GAS,1,MEDIUM,23,2,0.029411764705882353,-0.14631527042096612,-0.14321343677424792,78.38218637063116
5,Canadian,68,GAS,2,HARD,29,33,0.4852941176470588,-0.00959511284876382,-0.0064932792020450806,76.4372434058636
5,Canadian,68,HAD,1,SOFT,25,2,0.029411764705882353,-0.05535485740934777,-0.052253023762627214,76.17752259852456
5,Canadian,68,HAD,2,MEDIUM,17,33,0.4852941176470588,-0.051482886670611495,-0.04838105302389217,75.65059302629929
5,Canadian,68,HAM,1,SOFT,25,2,0.029411764705882353,-0.039177959544168285,-0.03607612589744853,75.9018379156247
5,Canadian,68,HAM,2,MEDIUM,30,33,0.4852941176470588,-0.0045593722805965945,-0.0014575386338773965,74.93946214859305
5,Canadian,68,HUL,2,SOFT,12,4,0.058823529411764705,-0.18034793230109764,-0.17724609865437838,78.40737045814505
5,Canadian,68,HUL,3,MEDIUM,36,22,0.3235294117647059,0.020081722994180436,0.023183556640900195,76.11198029486104
5,Canadian,68,LAW,1,MEDIUM,23,2,0.029411764705882353,-0.09078026395823426,-0.08767843031151706,77.69415782690004
5,Canadian,68,LAW,2,SOFT,29,33,0.4852941176470588,-0.00923438777323504,-0.006132554126516068,76.50962563317896
5,Canadian,68,LEC,1,SOFT,25,2,0.029411764705882353,-0.058587296066446005,-0.05548546241972771,76.05657760782566
5,Canadian,68,LEC,2,MEDIUM,31,33,0.4852941176470588,0.04719771862324164,0.05029955226996063,75.00126459293689
5,Canadian,68,NOR,2,MEDIUM,8,4,0.058823529411764705,-0.4004614845938346,-0.3973596509471181,76.73605387194164
5,Canadian,68,NOR,3,MEDIUM,17,17,0.25,-0.02164010060953123,-0.018538266962810194,75.72645152155724
5,Canadian,68,OCO,1,SOFT,11,2,0.029411764705882353,-0.3594518585348206,-0.3563500248881028,79.79518852586621
5,Canadian,68,OCO,2,MEDIUM,10,19,0.27941176470588236,-0.0031625668449189945,-6.073319820181587e-05,77.31201551192869
5,Canadian,68,OCO,3,SOFT,30,32,0.47058823529411764,-0.027445798230704307,-0.024343964583984887,77.80249699151162
5,Canadian,68,PER,2,SOFT,9,4,0.058823529411764705,-0.15844060138021912,-0.15533876773349886,77.59998337446885
5,Canadian,68,PER,3,MEDIUM,11,17,0.25,-0.08274807607253519,-0.07964624242581551,77.36982251990474
5,Canadian,68,PIA,2,MEDIUM,9,3,0.04411764705882353,-0.4874852941176509,-0.4843834604709289,77.19944923717443
5,Canadian,68,PIA,3,MEDIUM,30,14,0.20588235294117646,-0.0075448074648945184,-0.004442973818174847,76.20302196213673
5,Canadian,68,PIA,4,SOFT,13,53,0.7794117647058824,0.007640129037392767,0.010741962684112916,76.48061455788142
5,Canadian,68,RUS,1,SOFT,25,2,0.029411764705882353,-0.040068273123758574,-0.036966439477040716,75.44011495522078
5,Canadian,68,SAI,2,MEDIUM,21,4,0.058823529411764705,-0.04318864150826415,-0.04008680786154479,76.70389624381308
5,Canadian,68,SAI,3,MEDIUM,31,32,0.47058823529411764,-0.011397598479360536,-0.00829576483264075,76.81787846296173
