round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_per_lap,pace_at_age5
8,Austrian,71,GAS,2,HARD,20,15,0.2112676056338028,0.06017669546162711,71.41275922776232
8,Austrian,71,GAS,3,MEDIUM,11,40,0.5633802816901409,0.08696798975672322,71.62871446862992
8,Austrian,71,GAS,4,SOFT,18,53,0.7464788732394366,0.0173554557479015,71.99875313110174
8,Austrian,71,HAD,1,MEDIUM,16,2,0.028169014084507043,0.08245047638774174,70.99117444076218
8,Austrian,71,HAD,2,MEDIUM,17,20,0.28169014084507044,0.08562221699328783,70.22743827803735
8,Austrian,71,HAD,3,HARD,28,42,0.5915492957746479,0.056391384071751274,70.54155979436561
8,Austrian,71,HAM,1,MEDIUM,10,2,0.028169014084507043,0.236277080665814,70.20713085787452
8,Austrian,71,HAM,2,HARD,10,14,0.19718309859154928,0.059877080665815645,70.77480128040972
8,Austrian,71,HAM,3,SOFT,15,27,0.38028169014084506,0.11437967806840851,70.03162146210602
8,Austrian,71,HAM,4,HARD,26,44,0.6197183098591549,0.07789525104367999,70.35536767106137
8,Austrian,71,HUL,1,MEDIUM,19,2,0.028169014084507043,0.06877165801828541,72.41764951816158
8,Austrian,71,HUL,2,MEDIUM,19,23,0.323943661971831,0.04009910369188042,71.38231941524337
8,Austrian,71,HUL,3,HARD,22,47,0.6619718309859155,0.03252856477049533,72.04297621777228
8,Austrian,71,LAW,1,MEDIUM,17,2,0.028169014084507043,0.08465782932891418,71.44970091135046
8,Austrian,71,LAW,2,HARD,21,21,0.29577464788732394,0.07242059084991329,71.24839755062435
8,Austrian,71,LAW,3,MEDIUM,22,47,0.6619718309859155,0.06161205432885136,71.41253160862546
8,Austrian,71,LEC,1,MEDIUM,11,2,0.028169014084507043,0.0822407170294491,70.85002176696543
8,Austrian,71,LEC,2,HARD,19,15,0.2112676056338028,0.01742307188389872,70.71328577691554
8,Austrian,71,LEC,3,HARD,18,39,0.5492957746478874,0.11164424707417818,70.42695944592566
8,Austrian,71,LEC,4,SOFT,11,61,0.8591549295774648,0.01302253521126742,70.63759282970547
8,Austrian,71,LIN,1,MEDIUM,16,2,0.028169014084507043,0.08611665285832794,71.58811414664454
8,Austrian,71,LIN,2,HARD,23,20,0.28169014084507044,0.08322184352519651,71.07116903578712
8,Austrian,71,LIN,3,MEDIUM,21,48,0.676056338028169,0.07389712511155729,71.452842155215
8,Austrian,71,NOR,1,MEDIUM,19,2,0.028169014084507043,0.08080674573758241,70.92880741289844
8,Austrian,71,NOR,2,HARD,21,23,0.323943661971831,0.057111802672937285,70.31185837432312
8,Austrian,71,NOR,3,HARD,22,49,0.6901408450704225,0.10406518623089217,70.23955147700364
8,Austrian,71,OCO,1,MEDIUM,16,2,0.028169014084507043,0.15914312344656492,72.20149502899748
8,Austrian,71,OCO,2,MEDIUM,10,20,0.28169014084507044,-0.05809762378930155,72.41663483456102
8,Austrian,71,OCO,3,HARD,34,35,0.49295774647887325,0.10014938839846231,72.13774136831373
8,Austrian,71,PIA,1,MEDIUM,17,2,0.028169014084507043,0.07900341756421016,70.83073767605633
8,Austrian,71,PIA,2,HARD,18,21,0.29577464788732394,0.07653468474397822,70.04657698214206
8,Austrian,71,PIA,3,HARD,26,44,0.6197183098591549,0.0872780321845153,70.11004739941305
8,Austrian,71,RUS,1,MEDIUM,17,2,0.028169014084507043,0.11784165285832454,69.98466414664459
